RatingId,UserId,MovieId,Rating,TimeStamp
1,1,1,4,964982703
2,1,3,4,964981247
3,1,6,4,964982224
4,1,47,5,964983815
5,1,50,5,964982931
6,1,70,3,964982400
7,1,101,5,964980868
8,1,110,4,964982176
9,1,151,5,964984041
10,1,157,5,964984100
11,1,163,5,964983650
12,1,216,5,964981208
13,1,223,3,964980985
14,1,231,5,964981179
15,1,235,4,964980908
16,1,260,5,964981680
17,1,296,3,964982967
18,1,316,3,964982310
19,1,333,5,964981179
20,1,349,4,964982563
21,1,356,4,964980962
22,1,362,5,964982588
23,1,367,4,964981710
24,1,423,3,964982363
25,1,441,4,964980868
26,1,457,5,964981909
27,1,480,4,964982346
28,1,500,3,964981208
29,1,527,5,964984002
30,1,543,4,964981179
31,1,552,4,964982653
32,1,553,5,964984153
33,1,590,4,964982546
34,1,592,4,964982271
35,1,593,4,964983793
36,1,596,5,964982838
37,1,608,5,964982931
38,1,648,3,964982563
39,1,661,5,964982838
40,1,673,3,964981775
41,1,733,4,964982400
42,1,736,3,964982653
43,1,780,3,964984086
44,1,804,4,964980499
45,1,919,5,964982475
46,1,923,5,964981529
47,1,940,5,964982176
48,1,943,4,964983614
49,1,954,5,964983219
50,1,1009,3,964981775
51,1,1023,5,964982681
52,1,1024,5,964982876
53,1,1025,5,964982791
54,1,1029,5,964982855
55,1,1030,3,964982903
56,1,1031,5,964982653
57,1,1032,5,964982791
58,1,1042,4,964981179
59,1,1049,5,964982400
60,1,1060,4,964980924
61,1,1073,5,964981680
62,1,1080,5,964981327
63,1,1089,5,964982951
64,1,1090,4,964984018
65,1,1092,5,964983484
66,1,1097,5,964981680
67,1,1127,4,964982513
68,1,1136,5,964981327
69,1,1196,5,964981827
70,1,1197,5,964981872
71,1,1198,5,964981827
72,1,1206,5,964983737
73,1,1208,4,964983250
74,1,1210,5,964980499
75,1,1213,5,964982951
76,1,1214,4,964981855
77,1,1219,2,964983393
78,1,1220,5,964981909
79,1,1222,5,964981909
80,1,1224,5,964984018
81,1,1226,5,964983618
82,1,1240,5,964983723
83,1,1256,5,964981442
84,1,1258,3,964983414
85,1,1265,4,964983599
86,1,1270,5,964983705
87,1,1275,5,964982290
88,1,1278,5,964983414
89,1,1282,5,964982703
90,1,1291,5,964981909
91,1,1298,5,964984086
92,1,1348,4,964983393
93,1,1377,3,964982653
94,1,1396,3,964983017
95,1,1408,3,964982310
96,1,1445,3,964984112
97,1,1473,4,964980875
98,1,1500,4,964980985
99,1,1517,5,964981107
100,1,1552,4,964982620
101,1,1573,5,964982290
102,1,1580,3,964981125
103,1,1587,5,964982346
104,1,1617,5,964982951
105,1,1620,4,964983056
